
fd716ed,Ben Reid,Fri Apr 28 23:02:14 2023,"On WEBGL-TEST: !!GitHub_Desktop<WEBGL-TEST>", 
dd57223,Ben Reid,Fri Apr 28 23:02:14 2023,"index on WEBGL-TEST: dd4f775 remove unused files, reduce texture size", 
dd4f775,Ben Reid,Fri Apr 28 22:10:46 2023,"remove unused files, reduce texture size",   154 files changed, 1202022 insertions(+), 450807 deletions(-) 
680eda1,Ben Reid,Fri Apr 28 16:23:33 2023,"the UI nightmare continues",   13 files changed, 243 insertions(+), 256 deletions(-) 
346491c,Ben Reid,Fri Apr 28 10:01:32 2023,"Map Added, intro + end extra",   734 files changed, 876687 insertions(+), 3007 deletions(-) 
291420c,lward274,Fri Apr 28 01:26:33 2023,"colliders",   1 file changed, 3105 insertions(+), 918 deletions(-) 
4dbea68,Ben Reid,Fri Apr 28 01:01:34 2023,"gate",   19 files changed, 1968 insertions(+), 19 deletions(-) 
bf20055,Ben Reid,Thu Apr 27 23:14:34 2023,"End adjustments",   45 files changed, 3515 insertions(+), 509 deletions(-) 
a2b6908,lward274,Thu Apr 27 19:51:13 2023,"smoke",   6 files changed, 5056 insertions(+) 
3df168b,Ben Reid,Thu Apr 27 17:10:39 2023,"Checkpoint fix",   12 files changed, 2620 insertions(+), 1061 deletions(-) 
20866df,Ben Reid,Thu Apr 27 16:05:09 2023,"maze lighting fix",   4 files changed, 5 insertions(+), 6 deletions(-) 
cde4585,Ben Reid,Thu Apr 27 15:52:41 2023,"dialogue file fixes, NPC fix",   28 files changed, 4066 insertions(+), 1624 deletions(-) 
0c5ae70,lward274,Thu Apr 27 00:40:11 2023,"cave",   3 files changed, 644 insertions(+), 445 deletions(-) 
f6abba0,lward274,Thu Apr 27 00:30:08 2023,"portal particles",   5 files changed, 5099 insertions(+), 110 deletions(-) 
a7a06da,lward274,Thu Apr 27 00:10:53 2023,"removed ugly torch outline",   2 files changed, 121 insertions(+), 167 deletions(-) 
aa4ecfa,lward274,Wed Apr 26 23:50:57 2023,"grass idk",   2 files changed, 14502 insertions(+), 2318 deletions(-) 
93c1559,lward274,Wed Apr 26 23:16:04 2023,"fence redo bc they were too smol",   4 files changed, 11703 insertions(+), 42783 deletions(-) 
0a3f47d,lward274,Wed Apr 26 22:33:42 2023,"FIREFLIES!",   6 files changed, 18021 insertions(+), 739 deletions(-) 
c073899,lward274,Wed Apr 26 18:58:48 2023,"cherry plots",   1 file changed, 943 insertions(+), 4868 deletions(-) 
c075345,lward274,Wed Apr 26 18:38:28 2023,"witch lights idk",   6 files changed, 10670 insertions(+), 9629 deletions(-) 
62bb304,lward274,Wed Apr 26 17:30:50 2023,"torch placement fix",   1 file changed, 1497 insertions(+), 1497 deletions(-) 
9ce33d8,lward274,Wed Apr 26 17:26:42 2023,"even more dialogue",   60 files changed, 118 insertions(+), 51 deletions(-) 
8da51f6,Ben Reid,Wed Apr 26 14:15:52 2023,"added Uncle",   15 files changed, 653 insertions(+), 20 deletions(-) 
ce68af1,Ben Reid,Wed Apr 26 13:59:45 2023,"13:00 Build",   11 files changed, 454223 insertions(+), 454280 deletions(-) 
705939b,Ben Reid,Wed Apr 26 05:27:13 2023,"Near 1st Build",   64 files changed, 849840 insertions(+), 3531 deletions(-) 
f78a9fe,lward274,Wed Apr 26 00:10:34 2023,"more dialogue",   106 files changed, 418 insertions(+), 1 deletion(-) 
cd57094,lward274,Tue Apr 25 22:39:50 2023,"dialogue more",   25 files changed, 72 insertions(+), 27 deletions(-) 
9e61c5d,lward274,Tue Apr 25 21:12:45 2023,"Merge branch 'Tools' into Laura", 
1aab8ce,lward274,Tue Apr 25 21:12:11 2023,"dialogue fixes",   16 files changed, 425 insertions(+), 565 deletions(-) 
dd5c4bb,Ben Reid,Tue Apr 25 21:11:08 2023,"Generic npc spawn / spell giving",   23 files changed, 2084 insertions(+), 1026 deletions(-) 
42638a0,lward274,Tue Apr 25 19:28:15 2023,"2rd mirror portal",   1 file changed, 671 insertions(+), 663 deletions(-) 
4dd6ae3,Ben Reid,Tue Apr 25 18:55:43 2023,"audio mix",   4 files changed, 24 insertions(+), 5 deletions(-) 
e252c4c,Ben Reid,Tue Apr 25 18:46:51 2023,"Lighting ReBake",   271 files changed, 14698 insertions(+), 1049 deletions(-) 
fb2ad68,Ben Reid,Tue Apr 25 15:12:17 2023,"Mirror Fixes",   49 files changed, 2827 insertions(+), 1060 deletions(-) 
f3eee1e,lward274,Mon Apr 24 23:39:24 2023,"Merge branch 'Tools' into Laura", 
6e9808e,lward274,Mon Apr 24 23:38:42 2023,"mirror enviro copy",   2 files changed, 124663 insertions(+), 369898 deletions(-) 
644c7b6,Ben Reid,Mon Apr 24 23:06:46 2023,"portal fix",   6 files changed, 22 insertions(+), 431 deletions(-) 
c132f30,lward274,Mon Apr 24 22:42:37 2023,"silly ben mistake",   1 file changed, 8 insertions(+) 
01a512c,Ben Reid,Mon Apr 24 22:35:13 2023,"Merge branch 'Laura' into Tools", 
20956c4,Ben Reid,Mon Apr 24 22:34:42 2023,"Spell Unlock Progression Fixes",   26 files changed, 12356 insertions(+), 80737 deletions(-) 
ade84f4,lward274,Mon Apr 24 22:34:07 2023,"mirror changes",   23 files changed, 51394 insertions(+), 115581 deletions(-) 
121811c,Ben Reid,Mon Apr 24 20:00:04 2023,"Maze?",   44 files changed, 11191 insertions(+), 3132 deletions(-) 
50afdde,Ben Reid,Mon Apr 24 06:01:54 2023,"torch collider fix",   47 files changed, 15553 insertions(+), 33008 deletions(-) 
70dca9d,lward274,Mon Apr 24 01:32:44 2023,"lights",   1 file changed, 1392 insertions(+) 
552c28a,lward274,Mon Apr 24 01:15:12 2023,"the great witch revamp pt3",   1 file changed, 51987 insertions(+), 19352 deletions(-) 
b0508b7,Ben Reid,Sun Apr 23 20:42:26 2023,"Menu + start of Mirror Changes",   47 files changed, 269264 insertions(+), 126101 deletions(-) 
555df47,Ben Reid,Sun Apr 23 20:16:17 2023,"Merge branch 'Laura' into Tools", 
ecbcab0,lward274,Sun Apr 23 20:13:24 2023,"the great witch revamp pt2",   12 files changed, 23127 insertions(+), 123151 deletions(-) 
b5360e4,Ben Reid,Sun Apr 23 14:58:18 2023,"Update Onion, cherry, chili(NEW).png.meta",   1 file changed, 42 deletions(-) 
75b33a4,Ben Reid,Sun Apr 23 14:56:52 2023,"Dialogue PNG fix",   83 files changed, 7073 insertions(+), 4473 deletions(-) 
620c040,lward274,Thu Apr 20 23:27:00 2023,"the great witch revamp pt1",   2 files changed, 151396 insertions(+), 1676 deletions(-) 
cd9a9d2,lward274,Thu Apr 20 19:39:24 2023,"fixed disgusting mirror hierarchy",   5 files changed, 211624 insertions(+), 211038 deletions(-) 
a3ee3ba,lward274,Thu Apr 20 14:52:02 2023,"more fences",   3 files changed, 3977 insertions(+), 324 deletions(-) 
3d0574b,Mark Allison,Thu Apr 20 11:35:40 2023,"super potion, side quest dialogue",   26 files changed, 399 insertions(+), 7 deletions(-) 
